"Name","Live Bytes","Live Objects"
"io.prometheus.metrics.config.ExporterPushgatewayProperties","24 B (0%)","1 (0%)"
"net.i2p.i2pcontrol.servlets.jsonrpc2handlers.AuthenticateHandler","24 B (0%)","1 (0%)"
"java.util.ResourceBundle$Control$CandidateListCache","24 B (0%)","1 (0%)"
"net.i2p.router.peermanager.ProfileManagerImpl","24 B (0%)","1 (0%)"
"net.i2p.data.SessionTag","24 B (0%)","1 (0%)"
"sun.awt.util.PerformanceLogger$TimeData","24 B (0%)","1 (0%)"
"com.thetransactioncompany.jsonrpc2.server.Dispatcher","24 B (0%)","1 (0%)"
"io.prometheus.metrics.instrumentation.jvm.JvmClassLoadingMetrics","24 B (0%)","1 (0%)"
"net.i2p.router.update.NewsHandler","24 B (0%)","1 (0%)"
"com.sun.org.apache.xerces.internal.impl.msg.XMLMessageFormatter","24 B (0%)","1 (0%)"
"org.rrd4j.ConsolFun$3","24 B (0%)","1 (0%)"
"org.rrd4j.ConsolFun$4","24 B (0%)","1 (0%)"
"org.rrd4j.ConsolFun$1","24 B (0%)","1 (0%)"
"org.rrd4j.ConsolFun$2","24 B (0%)","1 (0%)"
"org.rrd4j.ConsolFun$5","24 B (0%)","1 (0%)"
"org.rrd4j.ConsolFun$6","24 B (0%)","1 (0%)"
"sun.java2d.marlin.DMarlinRenderingEngine$NormMode$3","24 B (0%)","1 (0%)"
"sun.java2d.marlin.DMarlinRenderingEngine$NormMode$1","24 B (0%)","1 (0%)"
"sun.java2d.marlin.DMarlinRenderingEngine$NormMode$2","24 B (0%)","1 (0%)"
"io.prometheus.metrics.model.registry.PrometheusRegistry","24 B (0%)","1 (0%)"
"java.io.ObjectStreamClass$Caches$2","24 B (0%)","1 (0%)"
"java.io.ObjectStreamClass$Caches$1","24 B (0%)","1 (0%)"
"java.nio.file.LinkOption","24 B (0%)","1 (0%)"
"java.util.Arrays$ArrayItr","24 B (0%)","1 (0%)"
"org.rrd4j.core.RrdSyncThreadPool$DaemonThreadFactory","24 B (0%)","1 (0%)"
"sun.util.cldr.CLDRTimeZoneNameProviderImpl","24 B (0%)","1 (0%)"
"com.sun.imageio.spi.FileImageInputStreamSpi","24 B (0%)","1 (0%)"
"net.i2p.data.Certificate$NullCert","24 B (0%)","1 (0%)"
"java.util.Comparators$NaturalOrderComparator","24 B (0%)","1 (0%)"
"jdk.internal.icu.util.CodePointTrie$Type[]","24 B (0%)","1 (0%)"
"net.i2p.router.crypto.ratchet.MuxedEngine","24 B (0%)","1 (0%)"
"net.i2p.i2ptunnel.I2PTunnelClientBase$SocketManagerState[]","24 B (0%)","1 (0%)"
"java.util.Collections$SynchronizedCollection","24 B (0%)","1 (0%)"
"org.tanukisoftware.wrapper.WrapperManager$WrapperEventListenerMask[]","24 B (0%)","1 (0%)"
"java.lang.invoke.MethodHandles$Lookup$ClassOption[]","24 B (0%)","1 (0%)"
"net.i2p.router.tasks.OOMListener","24 B (0%)","1 (0%)"
"io.prometheus.metrics.instrumentation.jvm.JvmCompilationMetrics","24 B (0%)","1 (0%)"
"jdk.management.jfr.internal.FlightRecorderMXBeanProvider$SingleMBeanComponent","24 B (0%)","1 (0%)"
"sun.security.ssl.EphemeralKeyManager$EphemeralKeyPair[]","24 B (0%)","1 (0%)"
"sun.nio.cs.UTF_16BE","24 B (0%)","1 (0%)"
"net.i2p.router.web.jsp.netdb_jsp","24 B (0%)","1 (0%)"
"com.sun.jmx.mbeanserver.MXBeanLookup","24 B (0%)","1 (0%)"
"net.i2p.router.message.GarlicMessageParser","24 B (0%)","1 (0%)"
"sun.management.ManagementFactoryHelper$LoggingMXBeanAccess","24 B (0%)","1 (0%)"
"net.i2p.router.tunnel.BloomFilterIVValidator","24 B (0%)","1 (0%)"
"net.i2p.data.KeyCertificate$ECDSA256Cert","24 B (0%)","1 (0%)"
"net.i2p.addressbook.Daemon","24 B (0%)","1 (0%)"
"jdk.internal.icu.text.FilteredNormalizer2","24 B (0%)","1 (0%)"
"jdk.internal.util.ReferencedKeyMap","24 B (0%)","1 (0%)"
"sun.nio.cs.UTF_16LE","24 B (0%)","1 (0%)"
"net.i2p.router.web.jsp.logs_jsp","24 B (0%)","1 (0%)"
"net.i2p.i2pcontrol.servlets.jsonrpc2handlers.NetworkSettingHandler","24 B (0%)","1 (0%)"
"sun.management.VMManagementImpl","24 B (0%)","1 (0%)"
"net.i2p.router.Banlist","24 B (0%)","1 (0%)"
"io.prometheus.metrics.exporter.servlet.javax.PrometheusMetricsServlet","24 B (0%)","1 (0%)"
"org.eclipse.jetty.util.ByteArrayOutputStream2","24 B (0%)","1 (0%)"
"java.security.cert.X509Certificate[]","24 B (0%)","1 (0%)"
"java.math.MutableBigInteger","24 B (0%)","1 (0%)"
"java.time.temporal.IsoFields$Field$1","24 B (0%)","1 (0%)"
"java.time.temporal.IsoFields$Field$2","24 B (0%)","1 (0%)"
"java.time.temporal.IsoFields$Field$3","24 B (0%)","1 (0%)"
"java.time.temporal.IsoFields$Field$4","24 B (0%)","1 (0%)"
"net.i2p.router.client.ClientManagerFacadeImpl","24 B (0%)","1 (0%)"
"net.i2p.router.tunnel.pool.ExploratoryPeerSelector","24 B (0%)","1 (0%)"
"org.tanukisoftware.wrapper.WrapperManager$WrapperEventListenerMask","24 B (0%)","1 (0%)"
"java.lang.reflect.ReflectPermission","24 B (0%)","1 (0%)"
"sun.java2d.marlin.DMarlinRenderingEngine$1","24 B (0%)","1 (0%)"
"java.lang.ProcessEnvironment$StringEnvironment","24 B (0%)","1 (0%)"
"net.i2p.router.web.jsp.viewtheme_jsp","24 B (0%)","1 (0%)"
"java.io.FileWriter","24 B (0%)","1 (0%)"
"sun.util.locale.provider.CalendarNameProviderImpl","24 B (0%)","1 (0%)"
"net.i2p.router.tunnel.pool.BuildMessageProcessor","24 B (0%)","1 (0%)"
"org.eclipse.jetty.util.ConcurrentHashSet","24 B (0%)","1 (0%)"
"org.eclipse.jetty.http.HttpFieldPreEncoder[]","24 B (0%)","1 (0%)"
"sun.util.locale.provider.NumberFormatProviderImpl","24 B (0%)","1 (0%)"
"java.lang.invoke.MethodHandleImpl$ArrayAccessor$1","24 B (0%)","1 (0%)"
"sun.net.sdp.SdpProvider","24 B (0%)","1 (0%)"
"net.i2p.router.update.DummyHandler","24 B (0%)","1 (0%)"
"sun.awt.SunHints$LCDContrastKey","24 B (0%)","1 (0%)"
"java.util.Collections$2","24 B (0%)","1 (0%)"
"net.i2p.router.web.NavHelper","24 B (0%)","1 (0%)"
"sun.management.ManagementFactoryHelper$PlatformLoggingImpl","24 B (0%)","1 (0%)"
"net.i2p.router.transport.udp.PacketBuilder2","24 B (0%)","1 (0%)"
"io.prometheus.metrics.config.ExemplarsProperties","24 B (0%)","1 (0%)"
"io.prometheus.metrics.instrumentation.jvm.JvmMemoryMetrics","24 B (0%)","1 (0%)"
"org.eclipse.jetty.util.Uptime$DefaultImpl","24 B (0%)","1 (0%)"
"net.i2p.router.update.PluginUpdateHandler","24 B (0%)","1 (0%)"
"sun.nio.cs.US_ASCII","24 B (0%)","1 (0%)"
"sun.util.locale.provider.DecimalFormatSymbolsProviderImpl","24 B (0%)","1 (0%)"
"sun.reflect.generics.reflectiveObjects.WildcardTypeImpl","24 B (0%)","1 (0%)"
"sun.java2d.pipe.AAShapePipe$1","24 B (0%)","1 (0%)"
"java.util.concurrent.CopyOnWriteArrayList$COWIterator","24 B (0%)","1 (0%)"
"net.i2p.i2pcontrol.servlets.jsonrpc2handlers.AdvancedSettingsHandler","24 B (0%)","1 (0%)"
"java.security.spec.DSAParameterSpec","24 B (0%)","1 (0%)"
"sun.nio.cs.UTF_8","24 B (0%)","1 (0%)"
"jdk.jfr.internal.management.StreamManager","24 B (0%)","1 (0%)"
"sun.util.cldr.CLDRCalendarNameProviderImpl","24 B (0%)","1 (0%)"
"com.sun.management.internal.HotSpotThreadImpl","24 B (0%)","1 (0%)"
"com.maxmind.db.Reader$FileMode[]","24 B (0%)","1 (0%)"
"net.i2p.router.networkdb.kademlia.LookupBanHammer","24 B (0%)","1 (0%)"
"net.i2p.router.time.Zones","24 B (0%)","1 (0%)"
"org.klomp.snark.PeerAcceptor","24 B (0%)","1 (0%)"
"net.i2p.router.crypto.ElGamalAESEngine","24 B (0%)","1 (0%)"
"net.i2p.router.web.jsp.routerlogs_jsp","24 B (0%)","1 (0%)"
"sun.security.provider.NativeSeedGenerator","24 B (0%)","1 (0%)"
"com.sun.imageio.spi.RAFImageInputStreamSpi","24 B (0%)","1 (0%)"
"jdk.internal.ref.CleanerImpl","24 B (0%)","1 (0%)"
"net.i2p.crypto.CryptixAESEngine","24 B (0%)","1 (0%)"
"java.util.concurrent.Executors$AutoShutdownDelegatedExecutorService","24 B (0%)","1 (0%)"
"io.prometheus.metrics.instrumentation.jvm.JvmThreadsMetrics","24 B (0%)","1 (0%)"
"jdk.jfr.internal.ShutdownHook","24 B (0%)","1 (0%)"
"net.i2p.router.web.jsp.xhr1_jsp","24 B (0%)","1 (0%)"
"jdk.xml.internal.XMLSecurityManager$Processor[]","24 B (0%)","1 (0%)"
"sun.net.www.protocol.http.Handler","24 B (0%)","1 (0%)"
"net.i2p.i2pcontrol.servlets.jsonrpc2handlers.RouterManagerHandler","24 B (0%)","1 (0%)"
"org.rrd4j.core.RrdDbPool$ACTION[]","24 B (0%)","1 (0%)"
"com.sun.org.apache.xerces.internal.jaxp.SAXParserFactoryImpl","24 B (0%)","1 (0%)"
"sun.security.ssl.SSLScope[]","24 B (0%)","1 (0%)"
"java.util.concurrent.FutureTask$WaitNode","24 B (0%)","1 (0%)"
"sun.util.locale.provider.CollatorProviderImpl","24 B (0%)","1 (0%)"
"java.security.CodeSigner","24 B (0%)","1 (0%)"
"com.sun.org.apache.xerces.internal.utils.XMLSecurityPropertyManager$Property[]","24 B (0%)","1 (0%)"
"net.i2p.router.tasks.GracefulShutdown","24 B (0%)","1 (0%)"
"io.prometheus.metrics.expositionformats.ExpositionFormats","24 B (0%)","1 (0%)"
"sun.util.cldr.CLDRCalendarDataProviderImpl","24 B (0%)","1 (0%)"
"sun.nio.ch.DatagramChannelImpl$$Lambda.0x00007f41c80f9f38","24 B (0%)","1 (0%)"
"org.apache.el.util.ConcurrentCache","24 B (0%)","1 (0%)"
"net.i2p.router.web.GraphGenerator$$Lambda.0x00007f41c8283c80","24 B (0%)","1 (0%)"
"java.util.ServiceLoader$2","24 B (0%)","1 (0%)"
"net.i2p.util.EepGet$1","24 B (0%)","1 (0%)"
"io.prometheus.metrics.instrumentation.jvm.JvmMemoryPoolAllocationMetrics$AllocationCountingNotificationListener","24 B (0%)","1 (0%)"
"net.i2p.i2pcontrol.servlets.jsonrpc2handlers.RouterInfoHandler","24 B (0%)","1 (0%)"
"net.i2p.router.web.jsp.dns_jsp","24 B (0%)","1 (0%)"
"java.util.jar.Manifest[]","24 B (0%)","1 (0%)"
"jdk.internal.module.SystemModuleFinders$SystemModuleFinder","24 B (0%)","1 (0%)"
"sun.security.ssl.SunX509KeyManagerImpl$X509Credentials","24 B (0%)","1 (0%)"
"java.util.stream.ReduceOps$2ReducingSink","24 B (0%)","1 (0%)"
"net.i2p.router.update.DevSU3UpdateHandler","24 B (0%)","1 (0%)"
"sun.font.FontConfigManager$FontConfigInfo","24 B (0%)","1 (0%)"
"io.prometheus.metrics.instrumentation.jvm.JvmBufferPoolMetrics$$Lambda.0x00007f41c82b4948","16 B (0%)","1 (0%)"
"sun.security.ssl.CertificateRequest$T12CertificateRequestProducer","16 B (0%)","1 (0%)"
"net.i2p.router.tunnel.pool.BuildHandler$TunnelBuildMessageHandlerJobBuilder","16 B (0%)","1 (0%)"
"io.prometheus.metrics.model.snapshots.MetricSnapshots$$Lambda.0x00007f41c83046d8","16 B (0%)","1 (0%)"
"jdk.jfr.internal.instrument.JDKEvents$$Lambda.0x00007f41c82fd178","16 B (0%)","1 (0%)"
"java.nio.channels.spi.SelectorProvider$Holder$$Lambda.0x00007f41c8147b20","16 B (0%)","1 (0%)"
"com.sun.beans.WeakCache","16 B (0%)","1 (0%)"
"java.nio.Buffer$1","16 B (0%)","1 (0%)"
"java.nio.Buffer$2","16 B (0%)","1 (0%)"
"net.i2p.router.peermanager.ProfileOrganizer$$Lambda.0x00007f41c840a918","16 B (0%)","1 (0%)"
"java.lang.reflect.ReflectAccess","16 B (0%)","1 (0%)"
"io.prometheus.metrics.expositionformats.OpenMetricsTextFormatWriter","16 B (0%)","1 (0%)"
"sun.security.ec.ed.EdDSASignature$$Lambda.0x00007f41c81a7828","16 B (0%)","1 (0%)"
"sun.rmi.runtime.Log$LoggerLogFactory","16 B (0%)","1 (0%)"
"org.rrd4j.graph.RrdGraphDef$$Lambda.0x00007f41c83bc478","16 B (0%)","1 (0%)"
"sun.security.ssl.NewSessionTicket$T13NewSessionTicketConsumer","16 B (0%)","1 (0%)"
"java.lang.CharacterDataLatin1","16 B (0%)","1 (0%)"
"java.lang.invoke.MethodHandleImpl$1","16 B (0%)","1 (0%)"
"com.sun.jmx.interceptor.DefaultMBeanServerInterceptor$ResourceContext$1","16 B (0%)","1 (0%)"
"net.i2p.crypto.eddsa.spec.EdDSAGenParameterSpec","16 B (0%)","1 (0%)"
"io.prometheus.metrics.instrumentation.jvm.JvmThreadsMetrics$$Lambda.0x00007f41c82b1448","16 B (0%)","1 (0%)"
"org.apache.el.lang.ELArithmetic$BigDecimalDelegate","16 B (0%)","1 (0%)"
"javax.servlet.http.RFC6265Validator","16 B (0%)","1 (0%)"
"jdk.jfr.internal.ShutdownHook$ExceptionHandler","16 B (0%)","1 (0%)"
"sun.java2d.loops.GraphicsPrimitiveMgr$1","16 B (0%)","1 (0%)"
"sun.java2d.loops.GraphicsPrimitiveMgr$2","16 B (0%)","1 (0%)"
"org.apache.commons.io.IOUtils$$Lambda.0x00007f41c83ae5b0","16 B (0%)","1 (0%)"
"net.i2p.crypto.HMAC256Generator","16 B (0%)","1 (0%)"
"com.sun.jmx.mbeanserver.StandardMBeanIntrospector","16 B (0%)","1 (0%)"
"jdk.internal.misc.Unsafe","16 B (0%)","1 (0%)"
"sun.security.ssl.CertificateVerify$T10CertificateVerifyProducer","16 B (0%)","1 (0%)"
"sun.security.ec.ed.EdDSAParameters$SHA512DigesterFactory","16 B (0%)","1 (0%)"
"jdk.internal.jimage.decompressor.Decompressor","16 B (0%)","1 (0%)"
"java.util.concurrent.Executors$AutoShutdownDelegatedExecutorService$$Lambda.0x00007f41c8441430","16 B (0%)","1 (0%)"
"org.eclipse.jetty.util.IO$ClosedIS","16 B (0%)","1 (0%)"
"jdk.jfr.internal.periodic.BatchManager$$Lambda.0x00007f41c83788f8","16 B (0%)","1 (0%)"
"net.i2p.router.transport.ntcp.EventPumper$BufferFactory","16 B (0%)","1 (0%)"
"sun.reflect.generics.tree.TypeVariableSignature","16 B (0%)","1 (0%)"
"java.lang.invoke.MemberName$Factory","16 B (0%)","1 (0%)"
"java.lang.reflect.AccessFlag$1","16 B (0%)","1 (0%)"
"sun.rmi.runtime.RuntimeUtil","16 B (0%)","1 (0%)"
"java.lang.reflect.AccessFlag$2","16 B (0%)","1 (0%)"
"java.lang.reflect.AccessFlag$5","16 B (0%)","1 (0%)"
"java.lang.reflect.AccessFlag$6","16 B (0%)","1 (0%)"
"java.lang.reflect.AccessFlag$3","16 B (0%)","1 (0%)"
"java.lang.reflect.AccessFlag$4","16 B (0%)","1 (0%)"
"java.lang.reflect.AccessFlag$9","16 B (0%)","1 (0%)"
"java.lang.reflect.AccessFlag$7","16 B (0%)","1 (0%)"
"java.lang.reflect.AccessFlag$8","16 B (0%)","1 (0%)"
"sun.awt.image.PixelConverter","16 B (0%)","1 (0%)"
"net.i2p.router.tunnel.pool.IdleTunnelMonitor$$Lambda.0x00007f41c8434000","16 B (0%)","1 (0%)"
"io.prometheus.metrics.instrumentation.jvm.JvmClassLoadingMetrics$$Lambda.0x00007f41c82b5428","16 B (0%)","1 (0%)"
"org.apache.jasper.runtime.JspFactoryImpl","16 B (0%)","1 (0%)"
"sun.security.ssl.ClientHello$D13ClientHelloConsumer","16 B (0%)","1 (0%)"
"com.sun.jmx.mbeanserver.SecureClassLoaderRepository","16 B (0%)","1 (0%)"
"sun.security.ssl.CertificateStatus$CertificateStatusAbsence","16 B (0%)","1 (0%)"
"java.awt.Font$FontAccessImpl","16 B (0%)","1 (0%)"
"net.i2p.router.BanLogger$$Lambda.0x00007f41c8124c30","16 B (0%)","1 (0%)"
"javax.servlet.jsp.el.ImplicitObjectELResolver","16 B (0%)","1 (0%)"
"java.util.stream.Collectors$$Lambda.0x00007f41c8034270","16 B (0%)","1 (0%)"
"io.prometheus.metrics.instrumentation.jvm.JvmMemoryMetrics$$Lambda.0x00007f41c82b9f40","16 B (0%)","1 (0%)"
"jdk.internal.platform.cgroupv2.CgroupV2Subsystem","16 B (0%)","1 (0%)"
"org.tanukisoftware.wrapper.WrapperManager","16 B (0%)","1 (0%)"
"jdk.jfr.internal.dcmd.DCmdStop$$Lambda.0x00007f41c8027578","16 B (0%)","1 (0%)"
"sun.rmi.registry.RegistryImpl_Stub","16 B (0%)","1 (0%)"
"net.i2p.router.web.helpers.NetDbHelper$$Lambda.0x00007f41c83b8ab0","16 B (0%)","1 (0%)"
"sun.security.ssl.HelloVerifyRequest$HelloVerifyRequestProducer","16 B (0%)","1 (0%)"
"net.i2p.addressbook.HostChecker$CategoryRetryTask","16 B (0%)","1 (0%)"
"net.i2p.router.naming.BlockfileNamingService$DestEntrySerializerV4","16 B (0%)","1 (0%)"
"net.i2p.router.RouterContext$$Lambda.0x00007f41c80dce70","16 B (0%)","1 (0%)"
"sun.security.ec.ECOperations$PointMultiplier$Secp256R1GeneratorMultiplier","16 B (0%)","1 (0%)"
"io.prometheus.metrics.instrumentation.jvm.JvmCompilationMetrics$$Lambda.0x00007f41c82b5a98","16 B (0%)","1 (0%)"
"java.util.IdentityHashMap$Values","16 B (0%)","1 (0%)"
"sun.security.ssl.Finished$T12FinishedProducer","16 B (0%)","1 (0%)"
"java.lang.management.ManagementFactory$$Lambda.0x00007f41c8057058","16 B (0%)","1 (0%)"
"java.util.concurrent.ConcurrentSkipListMap$KeySet","16 B (0%)","1 (0%)"
"sun.java2d.Disposer$$Lambda.0x00007f41c82cb330","16 B (0%)","1 (0%)"
"com.sun.org.apache.xerces.internal.impl.dv.dtd.StringDatatypeValidator","16 B (0%)","1 (0%)"
"org.rrd4j.graph.RrdGraphConstants$FontConstructor$$Lambda.0x00007f41c83bd848","16 B (0%)","1 (0%)"
"java.io.PrintStream$1","16 B (0%)","1 (0%)"
"com.sun.org.apache.xerces.internal.impl.dv.dtd.IDREFDatatypeValidator","16 B (0%)","1 (0%)"
"org.eclipse.jetty.server.Response$1","16 B (0%)","1 (0%)"
"jdk.jfr.internal.JVM$ChunkRotationMonitor","16 B (0%)","1 (0%)"
"java.util.Collections$EmptyList","16 B (0%)","1 (0%)"
"net.i2p.stat.RateAverages$1","16 B (0%)","1 (0%)"
"net.i2p.crypto.eddsa.math.ed25519.Ed25519ScalarOps","16 B (0%)","1 (0%)"
"java.lang.System$2","16 B (0%)","1 (0%)"
"java.net.InetAddress$PlatformResolver","16 B (0%)","1 (0%)"
"sun.security.util.math.IntegerModuloP$MultiplicativeInverser$Secp256R1","16 B (0%)","1 (0%)"
"com.sun.beans.introspect.EventSetInfo$$Lambda.0x00007f41c837dd30","16 B (0%)","1 (0%)"
"sun.java2d.pipe.AlphaColorPipe","16 B (0%)","1 (0%)"
"sun.security.ec.ed.EdDSAParameters$$Lambda.0x00007f41c8241310","16 B (0%)","1 (0%)"
"java.security.spec.EncodedKeySpec$$Lambda.0x00007f41c80a3a98","16 B (0%)","1 (0%)"
"net.i2p.router.naming.BlockfileNamingService$Shutdown","16 B (0%)","1 (0%)"
"io.prometheus.metrics.instrumentation.jvm.ProcessMetrics$$Lambda.0x00007f41c82bf428","16 B (0%)","1 (0%)"
"jdk.jfr.internal.dcmd.DCmdDump$$Lambda.0x00007f41c80322f8","16 B (0%)","1 (0%)"
"jdk.internal.icu.text.NormalizerBase$NFKDMode","16 B (0%)","1 (0%)"
"sun.rmi.transport.DGCImpl$$Lambda.0x00007f41c8083598","16 B (0%)","1 (0%)"
"sun.java2d.pipe.LoopPipe","16 B (0%)","1 (0%)"
"org.eclipse.jetty.security.SecurityHandler$1","16 B (0%)","1 (0%)"
"org.eclipse.jetty.security.SecurityHandler$2","16 B (0%)","1 (0%)"
"java.io.FilePermissionCollection$$Lambda.0x00007f41c817c310","16 B (0%)","1 (0%)"
"java.net.URL$3","16 B (0%)","1 (0%)"
"sun.security.ssl.ClientHello$T13ClientHelloConsumer","16 B (0%)","1 (0%)"
"io.prometheus.metrics.instrumentation.jvm.JvmMemoryMetrics$$Lambda.0x00007f41c82ba840","16 B (0%)","1 (0%)"
"java.util.Spliterators$EmptySpliterator$OfLong","16 B (0%)","1 (0%)"
"java.util.logging.Handler[]","16 B (0%)","1 (0%)"
"sun.security.ssl.CertificateVerify$T12CertificateVerifyConsumer","16 B (0%)","1 (0%)"
"sun.rmi.server.Util$$Lambda.0x00007f41c8014068","16 B (0%)","1 (0%)"
"sun.rmi.runtime.RuntimeUtil$1","16 B (0%)","1 (0%)"
"javax.crypto.JceSecurityManager$$Lambda.0x00007f41c8207b88","16 B (0%)","1 (0%)"
"sun.rmi.server.Util$$Lambda.0x00007f41c80114e0","16 B (0%)","1 (0%)"
"sun.security.util.math.IntegerModuloP$MultiplicativeInverser$Secp256R1Field","16 B (0%)","1 (0%)"
"sun.management.ThreadImpl$$Lambda.0x00007f41c82d4020","16 B (0%)","1 (0%)"
"sun.security.ssl.KeyUpdate$KeyUpdateConsumer","16 B (0%)","1 (0%)"
"java.io.ObjectInputFilter$Config$BuiltinFilterFactory","16 B (0%)","1 (0%)"
"java.rmi.server.RMIClassLoader$2","16 B (0%)","1 (0%)"
"jdk.jfr.internal.TypeLibrary$$Lambda.0x00007f41c8365bf0","16 B (0%)","1 (0%)"
"sun.java2d.UnixSurfaceManagerFactory","16 B (0%)","1 (0%)"
"org.eclipse.jetty.util.component.AbstractLifeCycle$1","16 B (0%)","1 (0%)"
"com.sun.org.apache.xerces.internal.dom.CharacterDataImpl$1","16 B (0%)","1 (0%)"
"net.i2p.router.tunnel.pool.RequestThrottler$Cleaner","16 B (0%)","1 (0%)"
"net.i2p.router.crypto.ratchet.Elligator2","16 B (0%)","1 (0%)"
"java.lang.ref.Cleaner$1","16 B (0%)","1 (0%)"
"sun.rmi.transport.tcp.TCPTransport$$Lambda.0x00007f41c8080248","16 B (0%)","1 (0%)"
"jdk.jfr.internal.instrument.JDKEvents$$Lambda.0x00007f41c82fc6d8","16 B (0%)","1 (0%)"
"sun.util.logging.internal.LoggingProviderImpl","16 B (0%)","1 (0%)"
"sun.rmi.server.UnicastServerRef$$Lambda.0x00007f41c80148e8","16 B (0%)","1 (0%)"
"jdk.internal.icu.text.NormalizerBase$NFCMode","16 B (0%)","1 (0%)"
"sun.misc.Unsafe","16 B (0%)","1 (0%)"
"java.util.concurrent.ConcurrentLinkedQueue$$Lambda.0x00007f41c82e0348","16 B (0%)","1 (0%)"
"sun.awt.image.PixelConverter$Argb","16 B (0%)","1 (0%)"
"sun.security.ssl.CertificateMessage$T12CertificateConsumer","16 B (0%)","1 (0%)"
"java.util.logging.LogManager$VisitedLoggers","16 B (0%)","1 (0%)"
"org.eclipse.jetty.util.Callback$1","16 B (0%)","1 (0%)"
"sun.rmi.transport.tcp.TCPDirectSocketFactory","16 B (0%)","1 (0%)"
"net.i2p.router.transport.udp.UDPReceiver$Runner","16 B (0%)","1 (0%)"
"java.util.concurrent.ForkJoinPool$2","16 B (0%)","1 (0%)"
"java.io.ObjectInputFilter$Config$$Lambda.0x00007f41c803ee70","16 B (0%)","1 (0%)"
"java.util.stream.FindOps$FindSink$OfRef$$Lambda.0x800000048","16 B (0%)","1 (0%)"
"java.util.stream.FindOps$FindSink$OfRef$$Lambda.0x800000047","16 B (0%)","1 (0%)"
"java.util.stream.FindOps$FindSink$OfRef$$Lambda.0x800000049","16 B (0%)","1 (0%)"
"sun.rmi.transport.tcp.TCPChannel$$Lambda.0x00007f41c82e45f8","16 B (0%)","1 (0%)"
"javax.crypto.CryptoAllPermissionCollection","16 B (0%)","1 (0%)"
"java.util.stream.FindOps$FindSink$OfRef$$Lambda.0x80000004a","16 B (0%)","1 (0%)"
"io.prometheus.metrics.instrumentation.jvm.JvmMemoryMetrics$$Lambda.0x00007f41c82b9400","16 B (0%)","1 (0%)"
"sun.nio.ch.DatagramDispatcher","16 B (0%)","1 (0%)"
"java.util.concurrent.CompletableFuture$AltResult","16 B (0%)","1 (0%)"
"java.util.stream.Collectors$$Lambda.0x00007f41c807c290","16 B (0%)","1 (0%)"
"net.i2p.router.update.ConsoleUpdateManager$TaskCleaner","16 B (0%)","1 (0%)"
"jdk.jfr.internal.instrument.JDKEvents$$Lambda.0x00007f41c82fcb18","16 B (0%)","1 (0%)"
"org.eclipse.jetty.http.MimeTypes$$Lambda.0x00007f41c8198b20","16 B (0%)","1 (0%)"
"io.prometheus.metrics.instrumentation.jvm.JvmMemoryMetrics$$Lambda.0x00007f41c82b8d48","16 B (0%)","1 (0%)"
"gnu.crypto.prng.DevRandom","16 B (0%)","1 (0%)"
"net.i2p.i2pcontrol.servlets.jsonrpc2handlers.GetRateHandler","16 B (0%)","1 (0%)"
"java.util.logging.SimpleFormatter","16 B (0%)","1 (0%)"
"sun.security.ssl.NewSessionTicket$T13NewSessionTicketProducer","16 B (0%)","1 (0%)"
"java.text.MessageFormat$Field","16 B (0%)","1 (0%)"
"io.prometheus.metrics.config.ExemplarsProperties$$Lambda.0x00007f41c82aa6c8","16 B (0%)","1 (0%)"
"sun.rmi.transport.tcp.TCPEndpoint$$Lambda.0x00007f41c800d6a0","16 B (0%)","1 (0%)"
"com.sun.org.apache.xerces.internal.impl.dv.dtd.DTDDVFactoryImpl","16 B (0%)","1 (0%)"
"com.sun.org.apache.xerces.internal.impl.XMLDocumentScannerImpl$XMLDeclDriver","16 B (0%)","1 (0%)"
"sun.java2d.pipe.AATextRenderer","16 B (0%)","1 (0%)"
"sun.rmi.registry.RegistryImpl_Skel","16 B (0%)","1 (0%)"
"org.rrd4j.core.Util$$Lambda.0x00007f41c8292db0","16 B (0%)","1 (0%)"
"java.security.Provider[]","16 B (0%)","1 (0%)"
"java.io.PrintWriter$1","16 B (0%)","1 (0%)"
"io.prometheus.metrics.instrumentation.jvm.ProcessMetrics$$Lambda.0x00007f41c82bf1f0","16 B (0%)","1 (0%)"
"java.awt.color.ICC_Profile$$Lambda.0x00007f41c83d2930","16 B (0%)","1 (0%)"
"java.net.InetAddress$1","16 B (0%)","1 (0%)"
"sun.java2d.pipe.ValidatePipe","16 B (0%)","1 (0%)"
"net.i2p.i2ptunnel.SecurityHeaderBuilder$$Lambda.0x00007f41c8436488","16 B (0%)","1 (0%)"
"sun.security.ssl.CertificateStatus$CertificateStatusProducer","16 B (0%)","1 (0%)"
"io.prometheus.metrics.instrumentation.jvm.JvmMemoryMetrics$$Lambda.0x00007f41c82b88d8","16 B (0%)","1 (0%)"
"javax.imageio.spi.IIORegistry","16 B (0%)","1 (0%)"
"io.prometheus.metrics.config.MetricsProperties$$Lambda.0x00007f41c82a9b58","16 B (0%)","1 (0%)"
"net.i2p.router.transport.CommSystemFacadeImpl$Lookup","16 B (0%)","1 (0%)"
"jdk.internal.icu.impl.Trie2$1","16 B (0%)","1 (0%)"
"io.prometheus.metrics.config.MetricsProperties$$Lambda.0x00007f41c82a96b8","16 B (0%)","1 (0%)"
"jdk.jfr.internal.SettingsManager","16 B (0%)","1 (0%)"
